BinLocationName,ArticleSKU
FK09-13-A,PRO-00-50292-5
FK09-13-B,PRO-00-10080-5
FK09-14-A,PHF-11-10912-3
FK09-14-B,PRO-00-115524-5
FK09-15-A,DRY-00-10478-5
FK09-15-B,PRO-00-137169-5
FK09-16-A,PRO-00-90565-5
FK09-16-B,DRY-00-10470-5
FK09-17-A,DRY-00-10468-5
FK09-17-B,PRO-00-90541-5
FK10-1-A,DAI-00-136109-5
FK10-1-B,SPI-00-139093-5
FK10-2-A,SPI-00-90518-5
FK10-2-B,PHF-11-10164-3
FK10-3-A,PHF-11-10074-3
FK10-3-B,SPI-00-125402-5
FK10-4-A,PHF-11-10359-3
FK10-4-B,DRY-00-002448-5
FK10-5-A,PRO-00-10064-5
FK10-5-B,PHF-11-10839-3
FK10-6-A,PHF-11-132610-5
FK10-6-B,PRO-00-123229-5
FK10-7-A,PHF-11-10433-3
FK10-7-B,DRY-00-002447-5
FK10-8-A,DRY-00-002446-5
FK10-8-B,SPI-00-139094-5
FK11-1-A,DAI-00-125538-5
FK11-1-B,PCK-00-102736-5
FK11-2-A,PRO-00-10730-5
FK11-2-B,SPI-00-11650-5
FK11-3-A,DRY-00-140379-5
FK11-3-B,SPI-00-139672-5
FK11-4-A,PRO-00-10731-5
FK11-4-B,DRY-00-141824-5
FK11-5-A,DRY-00-143309-5
FK11-5-B,PHF-11-102520-3
FK11-6-A,PHF-11-10404-3
FK11-6-B,SPI-00-12126-5
FK11-7-A,PHF-11-10306-3
FK11-7-B,PHF-11-136356-3
FK11-8-A,PRO-00-123235-5
FK11-8-B,PHF-11-10042-3
FK12-1-A,PHF-11-10303-3
FK12-1-B,PCK-00-102737-5
FK12-2-A,PRO-00-123230-5
FK12-2-B,PHF-11-10390-3
FK12-3-A,PHF-11-10136-3
FK12-3-B,PHF-11-00001-3
FK12-4-A,PHF-11-10107-3
FK12-4-B,PHF-11-10695-3
FK12-5-A,PHF-11-132609-5
FK12-5-B,PHF-11-10416-3
FK12-6-A,PHF-11-10276-3
FK12-6-B,PRO-00-13029-5
FK12-7-A,PHF-11-10134-3
FK12-7-B,PHF-11-10359-3
FK12-8-A,PHF-11-10538-3
FK12-8-B,PHF-11-10366-3
FK13-1-A,PRO-00-10723-3
FK13-1-B,PCK-00-102736-5
FK13-2-A,SPI-00-139672-5
FK13-2-B,BAK-00-130087-5
FK13-3-A,PHF-11-10074-3
FK13-3-B,PHF-11-10695-3
FK13-4-A,PRO-00-123235-5
FK13-4-B,BAK-11-150569-5
